Comitente,Cpbt,Numero,Fecha,Importe,Nota
1442,CU$V,3475,16/07/2026,-0.28,auto: cierra dif. vs SALUSD (posible dividendo)
2527,CU$V,3473,16/07/2026,-0.66,auto: cierra dif. vs SALUSD (posible dividendo)
